test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,1,P35,single,NA,bilingual,non-dominant,7,French,43,57,NA,0,NA,57,43,male,253,2.4619562047594714,0.6574092189353432,13.3925,6.549078179408152,4
Montreal,1,P35,switched,NA,bilingual,non-dominant,7,French,43,57,NA,0,NA,57,43,male,253,2.349311885588697,0.47618543619148235,11.2825,4.3632890881382895,4
Montreal,2,P35,single,NA,bilingual,non-dominant,7,French,43,57,NA,0,NA,57,43,male,253,2.2897690350145172,0.5547236838896555,11.085714285714285,5.157153146012688,7
Montreal,2,P35,switched,NA,bilingual,non-dominant,7,French,43,57,NA,0,NA,57,43,male,253,1.8343892858921473,0.6224316891038898,7.275714285714286,4.016058835653254,7
Montreal,1,P38,single,NA,bilingual,dominant,22,English,59,42,NA,0,NA,59,42,female,274,1.9212330545236773,0.3157972516209183,7.1325,2.244076329234051,8
Montreal,1,P38,switched,NA,bilingual,dominant,22,English,59,42,NA,0,NA,59,42,female,274,2.280011055049486,0.49597288303328885,10.8625,5.326590305787961,8
Montreal,2,P38,single,NA,bilingual,dominant,22,English,59,42,NA,0,NA,59,42,female,274,1.8945511635394625,0.41560828622136115,7.191428571428571,3.301860226051514,7
Montreal,2,P38,switched,NA,bilingual,dominant,22,English,59,42,NA,0,NA,59,42,female,274,2.134281140248128,0.8005781551718797,10.655714285714286,6.747218827395619,7
Montreal,1,P39,single,NA,bilingual,non-dominant,21,English,42,38,NA,20,Arabic,42,38,male,269,1.6450616582630646,0.4409129484539063,5.67375,2.7585344841056454,8
Montreal,1,P39,switched,NA,bilingual,non-dominant,21,English,42,38,NA,20,Arabic,42,38,male,269,1.9240469736813153,0.40859609629312754,7.39125,3.237549503206752,8
Montreal,2,P39,single,NA,bilingual,non-dominant,21,English,42,38,NA,20,Arabic,42,38,male,269,1.473592558975739,0.43183267067662623,4.728571428571429,2.0802277805681806,7
Montreal,2,P39,switched,NA,bilingual,non-dominant,21,English,42,38,NA,20,Arabic,42,38,male,269,1.6133844553937784,0.572604306231793,5.796250000000001,3.280130387216773,8
NewJersey,1,P40,single,NA,bilingual,dominant,9,English,51,NA,49,NA,NA,51,49,female,264,1.7458926798711523,0.5309974439884526,6.4425,3.2248311140718227,8
NewJersey,1,P40,switched,NA,bilingual,dominant,9,English,51,NA,49,NA,NA,51,49,female,264,2.1200302472978447,0.6449226300847754,9.96125,6.242177819364923,8
NewJersey,2,P40,single,1,bilingual,dominant,9,English,51,NA,49,NA,NA,51,49,female,264,1.4781288435019004,0.75390992545962765,5.625,4.4604024482102504,6
NewJersey,2,P40,switched,1,bilingual,dominant,9,English,51,NA,49,NA,NA,51,49,female,264,1.4704953330738735,0.6763726699199938,5.5675,5.184779234864847,8
NewJersey,1,P41,single,NA,bilingual,non-dominant,8,English,53,NA,47,NA,NA,53,47,female,244,1.6773573416776943,0.3405227888645758,5.59,1.7278310102553431,5
